,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
80349,0.879,['Kishore Kumar'],0.685,247194,0.503,0,1vsR89NNnQ0YUxC4fZcoVA,2.47e-05,6,0.396,-6.136,0,Mana Janab Ne Pukara Nahin,22,1956-12-01,0.0435,122.048,0.863,1956,['Kishore Kumar'],[],['Kishore Kumar'],Kishore KumarMana Janab Ne Pukara Nahin,"['modern_bollywood', 'filmi', 'classic_bollywood', 'sufi', 'desi_pop']",4,0.8722586664561669,https://i.scdn.co/image/ab67616d00001e02dae56c1d097ca83ab08b1db8
80341,0.977,['Kishore Kumar'],0.615,193701,0.3720000000000001,0,2FdSHzDpEO1QQhmJe8YNo1,0.0,3,0.0968,-9.838,0,Mere Sukh Dukh Ka Sansar,0,1953-01-01,0.049,139.773,0.8140000000000001,1953,['Kishore Kumar'],[],['Kishore Kumar'],Kishore KumarMere Sukh Dukh Ka Sansar,"['modern_bollywood', 'filmi', 'classic_bollywood', 'sufi', 'desi_pop']",0,0.8714872419013686,https://i.scdn.co/image/ab67616d00001e02f34fab8e0c244393719818ea
80375,0.977,"['Kishore Kumar', 'Mohammed Rafi', 'Ram Kamlani']",0.6940000000000001,187405,0.383,0,28NXCGzSUsrRTpV8doJFyy,0.0703,3,0.429,-13.135,1,Dhoti Aur Patloon Men Ek Din Hui Ladai,0,1953-12-31,0.103,96.082,0.898,1953,"['Kishore Kumar', 'Mohammed Rafi', 'Ram Kamlani']",[],"['Kishore Kumar', 'Mohammed Rafi', 'Ram Kamlani']",Kishore KumarDhoti Aur Patloon Men Ek Din Hui Ladai,"['modern_bollywood', 'filmi', 'classic_bollywood', 'sufi', 'desi_pop']",0,0.8706046923096056,https://i.scdn.co/image/ab67616d00001e02efc73868cbc5ac3244e1bcbd
80320,0.902,['Kishore Kumar'],0.546,190691,0.47,0,15ShOUsytFAXJiIfNR9Iml,0.0223,2,0.491,-12.193,1,Yeh Kali Ghata Hai Bade Saba,0,1952-12-31,0.165,78.354,0.785,1952,['Kishore Kumar'],[],['Kishore Kumar'],Kishore KumarYeh Kali Ghata Hai Bade Saba,"['modern_bollywood', 'filmi', 'classic_bollywood', 'sufi', 'desi_pop']",0,0.86903425922725,https://i.scdn.co/image/ab67616d00001e02e7f9a3c2a19f139bf1f293b8
80327,0.973,['Kishore Kumar'],0.78,178361,0.425,0,0VldGT1w3A5lPJaU29DNNE,0.0,3,0.76,-6.138,1,Shaadi Kismat Ki Baat Hai,0,1953-12-31,0.0418,124.688,0.921,1953,['Kishore Kumar'],[],['Kishore Kumar'],Kishore KumarShaadi Kismat Ki Baat Hai,"['modern_bollywood', 'filmi', 'classic_bollywood', 'sufi', 'desi_pop']",0,0.868941455289313,https://i.scdn.co/image/ab67616d00001e0279fafd3e1fa0e4f6981b83e5
80339,0.755,['Kishore Kumar'],0.515,155013,0.612,0,1WnwFA8HIJdLviWvSI123c,0.000582,1,0.0855,-7.877999999999999,0,Nakhrewali,6,1956-12-31,0.0559,108.559,0.688,1956,['Kishore Kumar'],[],['Kishore Kumar'],Kishore KumarNakhrewali,"['modern_bollywood', 'filmi', 'classic_bollywood', 'sufi', 'desi_pop']",1,0.866376984038938,https://i.scdn.co/image/ab67616d00001e02db147608830dc7365070dc9f
78548,0.985,"['Lata Mangeshkar', 'Kishore Kumar']",0.273,192333,0.198,0,09aFzJT56dpsZfN8O2oR6U,0.149,5,0.132,-15.998,0,Aa Mohabbat Ki Basti Basayenge Hum,0,1953-01-01,0.0383,183.615,0.612,1953,"['Lata Mangeshkar', 'Kishore Kumar']",[],"['Lata Mangeshkar', 'Kishore Kumar']",Lata MangeshkarAa Mohabbat Ki Basti Basayenge Hum,"['modern_bollywood', 'filmi', 'classic_bollywood', 'sufi', 'desi_pop']",0,0.864343203808752,https://i.scdn.co/image/ab67616d00001e02f34fab8e0c244393719818ea
78213,0.993,"['Lata Mangeshkar', 'Kishore Kumar']",0.398,187680,0.364,0,2FcgWJbmaAlw3D9TSrJ3Lg,0.764,1,0.13,-11.342,0,O Piya Mera Bhola Jiya,0,1953-12-31,0.145,181.645,0.8290000000000001,1953,"['Lata Mangeshkar', 'Kishore Kumar']",[],"['Lata Mangeshkar', 'Kishore Kumar']",Lata MangeshkarO Piya Mera Bhola Jiya,"['modern_bollywood', 'filmi', 'classic_bollywood', 'sufi', 'desi_pop']",0,0.8637799562432805,https://i.scdn.co/image/ab67616d00001e02efc73868cbc5ac3244e1bcbd
80337,0.944,"['Kishore Kumar', 'Asha Bhosle']",0.504,227267,0.322,0,22FKMxkCJexl2ZNoeFNny4,3.5700000000000014e-05,5,0.126,-14.529000000000002,1,O Nigahe Mastana,11,1956-12-01,0.0388,115.607,0.733,1956,"['Kishore Kumar', 'Asha Bhosle']",[],"['Kishore Kumar', 'Asha Bhosle']",Kishore KumarO Nigahe Mastana,"['modern_bollywood', 'filmi', 'classic_bollywood', 'sufi', 'chutney', 'desi_pop']",2,0.8620738932309159,https://i.scdn.co/image/ab67616d00001e02dae56c1d097ca83ab08b1db8
80372,0.961,['Kishore Kumar'],0.343,187773,0.215,0,4USgZJQXWeoOEZsgcrUQL4,5.6e-06,10,0.373,-13.137,1,Dukhi Man Mere,12,1956-12-31,0.033,83.84100000000002,0.429,1956,['Kishore Kumar'],[],['Kishore Kumar'],Kishore KumarDukhi Man Mere,"['modern_bollywood', 'filmi', 'classic_bollywood', 'sufi', 'desi_pop']",2,0.8591666904033923,https://i.scdn.co/image/ab67616d00001e0260332fa37928a0500affc7fc
