,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
155852,0.123,"['Afrika Bambaataa', 'The Soulsonic Force']",0.784,229053,0.986,0,2bhr1LI24makfP843l4lMB,0.000166,0,0.184,-6.9179999999999975,1,"Looking for the Perfect Beat - Original 12"" Version",42,1986-12-01,0.0794,121.025,0.642,1986,"['Afrika Bambaataa', 'The Soulsonic Force']",[],"['Afrika Bambaataa', 'The Soulsonic Force']","Afrika BambaataaLooking for the Perfect Beat - Original 12"" Version","['east_coast_hip_hop', 'bronx_hip_hop', 'electro', 'hip_house', 'hip_hop', 'old_school_hip_hop']",8,0.8616851408300827,https://i.scdn.co/image/ab67616d00001e0281cc89e63c214bb57a72cdea
30191,0.00158,['T La Rock'],0.877,261794,0.647,0,6SuIF8oh96UPJIIJjKvtIe,0.0618,7,0.126,-9.652,1,It's Yours (Radio Mix),41,1984,0.232,98.404,0.334,1984,['T La Rock'],[],['T La Rock'],T La RockIt's Yours (Radio Mix),"['east_coast_hip_hop', 'bronx_hip_hop', 'electro', 'hip_house', 'hip_hop', 'old_school_hip_hop']",8,0.8542596248350868,https://i.scdn.co/image/ab67616d00001e022aabc3a677b4795034b68362
155851,0.011,"['Afrika Bambaataa', 'The Soulsonic Force']",0.915,319960,0.807,0,3uy0jtkM8QYVTsBazkli1x,0.000122,6,0.201,-9.636,0,Planet Rock,53,1982-05-01,0.13,127.35,0.708,1982,"['Afrika Bambaataa', 'The Soulsonic Force']",[],"['Afrika Bambaataa', 'The Soulsonic Force']",Afrika BambaataaPlanet Rock,"['east_coast_hip_hop', 'bronx_hip_hop', 'electro', 'hip_house', 'hip_hop', 'old_school_hip_hop']",10,0.8495427004783744,https://i.scdn.co/image/ab67616d00001e02739b07abeed30ac1b9b7fd98
155850,0.0109,"['Afrika Bambaataa', 'The Soulsonic Force']",0.821,240987,0.777,0,1N2tobz8qSty08hNk88nRF,0.527,6,0.0836,-6.569,0,Planet Rock - Instrumental,25,1982-05-01,0.0909,126.726,0.421,1982,"['Afrika Bambaataa', 'The Soulsonic Force']",[],"['Afrika Bambaataa', 'The Soulsonic Force']",Afrika BambaataaPlanet Rock - Instrumental,"['east_coast_hip_hop', 'bronx_hip_hop', 'electro', 'hip_house', 'hip_hop', 'old_school_hip_hop']",5,0.8406434109450773,https://i.scdn.co/image/ab67616d00001e02739b07abeed30ac1b9b7fd98
30889,0.00674,"['Supernova', 'Grandmaster Melle Mel']",0.7859999999999999,240293,0.815,1,1DEeNOeXZDD8SnmU62onoy,0.000233,4,0.156,-7.252000000000002,0,That's What I Like - Album Mix,0,2019-04-12,0.0557,126.971,0.83,2019,"['Supernova', 'Grandmaster Melle Mel']",[],"['Supernova', 'Grandmaster Melle Mel']",SupernovaThat's What I Like - Album Mix,"['electro', 'east_coast_hip_hop', 'bronx_hip_hop', 'old_school_hip_hop']",0,0.7679031912185783,https://i.scdn.co/image/ab67616d00001e022cb1ad8f6c940edf25e34098
83405,0.0294,['Just-Ice'],0.795,272787,0.775,1,5hGsUZIjiBZq4QRtjdulKB,0.139,1,0.0367,-7.492000000000001,1,Cold Gettin' Dumb,31,1986,0.162,96.027,0.833,1986,['Just-Ice'],[],['Just-Ice'],Just-IceCold Gettin' Dumb,"['east_coast_hip_hop', 'electro', 'hip_house', 'hip_hop', 'old_school_hip_hop']",6,0.7647926617076842,https://i.scdn.co/image/ab67616d00001e02b20d7c35aa28c89345685702
102579,0.0438,['Grandmaster Flash & The Furious Five'],0.853,269053,0.703,0,3odqT6FRAUAFCeOmNFmLrb,0.00044,0,0.0646,-8.799,1,White Lines,46,1984,0.0586,115.397,0.8290000000000001,1984,['Grandmaster Flash & The Furious Five'],[],['Grandmaster Flash & The Furious Five'],Grandmaster Flash & The Furious FiveWhite Lines,"['electro', 'bronx_hip_hop', 'old_school_hip_hop']",9,0.7548599671020526,https://i.scdn.co/image/ab67616d00001e021dfe54bff0e701915fae013f
102584,0.0155,['Grandmaster Flash & The Furious Five'],0.925,258467,0.733,0,57CrjgdO5a1RJOAGXk8YF8,0.0,1,0.254,-10.513,1,It's Nasty,28,1982-10-01,0.18600000000000005,102.253,0.6609999999999999,1982,['Grandmaster Flash & The Furious Five'],[],['Grandmaster Flash & The Furious Five'],Grandmaster Flash & The Furious FiveIt's Nasty,"['electro', 'bronx_hip_hop', 'old_school_hip_hop']",5,0.7478209982594207,https://i.scdn.co/image/ab67616d00001e02798575ed938d0968a00ce887
102582,0.277,['Grandmaster Flash & The Furious Five'],0.8540000000000001,431507,0.6890000000000001,1,2wfAWoybEH26oAQJAS31OL,0.00811,4,0.0527,-7.974,1,The Adventures of Grandmaster Flash on the Wheel of Steel,32,1982-10-01,0.222,111.109,0.542,1982,['Grandmaster Flash & The Furious Five'],[],['Grandmaster Flash & The Furious Five'],Grandmaster Flash & The Furious FiveThe Adventures of Grandmaster Flash on the Wheel of Steel,"['electro', 'bronx_hip_hop', 'old_school_hip_hop']",6,0.7442790833922879,https://i.scdn.co/image/ab67616d00001e02798575ed938d0968a00ce887
102583,0.00315,['Grandmaster Flash & The Furious Five'],0.8370000000000001,295667,0.633,0,3oWXABQqIZ8ETgM7hxxxO5,0.653,10,0.402,-13.53,0,Scorpio,30,1982-10-01,0.0628,122.752,0.637,1982,['Grandmaster Flash & The Furious Five'],[],['Grandmaster Flash & The Furious Five'],Grandmaster Flash & The Furious FiveScorpio,"['electro', 'bronx_hip_hop', 'old_school_hip_hop']",6,0.7396466796178115,https://i.scdn.co/image/ab67616d00001e02798575ed938d0968a00ce887
