,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
64558,1.58e-05,['Metallica'],0.314,330467,0.99,1,7MzM6iHyRYmuWBIm75DqHC,0.0978,6,0.64,-5.5139999999999985,0,For Whom the Bell Tolls (Live - Seattle '89),32,1988-09-07,0.189,125.06,0.0451,1988,['Metallica'],[],['Metallica'],MetallicaFor Whom the Bell Tolls (Live - Seattle '89),"['rock', 'metal', 'thrash_metal', 'old_school_thrash', 'hard_rock']",6,0.8438119020856092,https://i.scdn.co/image/ab67616d00001e02be54746b374358970b5e617a
64602,4.36e-06,['Metallica'],0.257,397260,0.995,1,2PFoYVONNUOm7HHkTAJers,0.123,6,0.475,-5.811,0,Blackened (Live - Seattle '89),32,1988-09-07,0.187,134.88,0.0378,1988,['Metallica'],[],['Metallica'],MetallicaBlackened (Live - Seattle '89),"['rock', 'metal', 'thrash_metal', 'old_school_thrash', 'hard_rock']",6,0.8435740430501458,https://i.scdn.co/image/ab67616d00001e02be54746b374358970b5e617a
64546,0.00248,['Metallica'],0.196,257211,0.998,0,77aAF7Pafxq6T5Fa7JBbzf,0.243,4,0.306,-3.41,1,"Hit The Lights (Live at Espace Balard, Paris, France – February 9th, 1984)",21,1983-07-25,0.257,167.11700000000005,0.0375,1983,['Metallica'],[],['Metallica'],"MetallicaHit The Lights (Live at Espace Balard, Paris, France – February 9th, 1984)","['rock', 'metal', 'thrash_metal', 'old_school_thrash', 'hard_rock']",4,0.8434537467776084,https://i.scdn.co/image/ab67616d00001e02a4c3675649cce210651d150d
64512,0.000668,['Metallica'],0.438,446146,0.687,0,0LAcM6I7ijW4VVW0aytl1t,0.0801,7,0.42,-9.15,1,One (Remastered),67,1988-09-07,0.0619,103.01,0.426,1988,['Metallica'],[],['Metallica'],MetallicaOne (Remastered),"['rock', 'metal', 'thrash_metal', 'old_school_thrash', 'hard_rock']",13,0.8433727878748648,https://i.scdn.co/image/ab67616d00001e02be54746b374358970b5e617a
64545,4.3e-05,['Metallica'],0.249,255867,0.97,0,4OH1lqC4mx1ja8RkXMOmRp,0.224,4,0.138,-5.535,0,Hit The Lights (Remastered),47,1983-07-25,0.21,160.687,0.287,1983,['Metallica'],[],['Metallica'],MetallicaHit The Lights (Remastered),"['rock', 'metal', 'thrash_metal', 'old_school_thrash', 'hard_rock']",9,0.8433700172524725,https://i.scdn.co/image/ab67616d00001e0220292e6cce666a69ba5a86fb
64540,0.00617,['Metallica'],0.29,281293,0.911,0,1gXXgZzrqexEhWa5Fg7VoA,0.0108,5,0.331,-5.6670000000000025,0,Jump In The Fire (Remastered),45,1983-07-25,0.0975,178.636,0.6579999999999999,1983,['Metallica'],[],['Metallica'],MetallicaJump In The Fire (Remastered),"['rock', 'metal', 'thrash_metal', 'old_school_thrash', 'hard_rock']",9,0.8432957955654798,https://i.scdn.co/image/ab67616d00001e0220292e6cce666a69ba5a86fb
64523,0.000116,['Metallica'],0.289,187840,0.938,0,1QQgmN383kUqjioRoTSfF3,0.0615,1,0.106,-6.0829999999999975,1,Motorbreath (Remastered),45,1983-07-25,0.163,173.882,0.349,1983,['Metallica'],[],['Metallica'],MetallicaMotorbreath (Remastered),"['rock', 'metal', 'thrash_metal', 'old_school_thrash', 'hard_rock']",9,0.8425820769617827,https://i.scdn.co/image/ab67616d00001e0220292e6cce666a69ba5a86fb
64473,8.87e-05,['Metallica'],0.4320000000000001,395102,0.906,0,2Rn5VhDVELkuB4BjZEVJKr,0.0448,9,0.156,-7.957999999999997,1,The Shortest Straw (Remastered),49,1988-09-07,0.108,142.767,0.5920000000000001,1988,['Metallica'],[],['Metallica'],MetallicaThe Shortest Straw (Remastered),"['rock', 'metal', 'thrash_metal', 'old_school_thrash', 'hard_rock']",9,0.8423636170410221,https://i.scdn.co/image/ab67616d00001e02be54746b374358970b5e617a
64470,0.000447,['Metallica'],0.475,233893,0.924,0,6RlsFZUCF3bU4NE7BjpDXr,0.0408,0,0.227,-7.351,1,The Struggle Within,45,1991-08-12,0.0502,98.843,0.513,1991,['Metallica'],[],['Metallica'],MetallicaThe Struggle Within,"['rock', 'metal', 'thrash_metal', 'old_school_thrash', 'hard_rock']",9,0.8423499380977211,https://i.scdn.co/image/ab67616d00001e02af07dc851962508661bbcfce
64482,5.16e-05,['Metallica'],0.483,463159,0.909,0,2ZTequNqaDxvv5N7tFrsl9,0.0512,4,0.119,-7.296,0,The Frayed Ends of Sanity (Remastered),47,1988-09-07,0.0484,94.816,0.672,1988,['Metallica'],[],['Metallica'],MetallicaThe Frayed Ends of Sanity (Remastered),"['rock', 'metal', 'thrash_metal', 'old_school_thrash', 'hard_rock']",9,0.8403298641199777,https://i.scdn.co/image/ab67616d00001e02be54746b374358970b5e617a
