,artist,name,id,url,date_added
13,The Beatles,Please Please Me - Remastered 2009,6EHuOufBeL6vk3TvVJB5qo,https://i.scdn.co/image/ab67616d00001e02dbeec63ad914c973e75c24df,2021-04-30 18:04:53+00:00
14,The Beatles,Please Mister Postman - Remastered 2009,6wfK1R6FoLpmUA9lk5ll4T,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73,2021-04-30 18:04:53+00:00
12,The Beatles,The Night Before - Remastered 2009,5xcfepnz1v7a83T8An9gjw,https://i.scdn.co/image/ab67616d00001e02e3e3b64cea45265469d4cafa,2021-04-30 18:04:52+00:00
10,The Beatles,I'm Happy Just To Dance With You - Remastered 2009,0gd50I2gKioJ59C827EdAY,https://i.scdn.co/image/ab67616d00001e02e230f303815e82a86713eedd,2021-04-30 18:04:51+00:00
11,The Beatles,Roll Over Beethoven - Remastered 2009,3idqWaBn3mRdsIodCU6uBi,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73,2021-04-30 18:04:51+00:00
9,The Beatles,It Won't Be Long - Remastered 2009,4ekUX4pWizXXksJe0JfS9U,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73,2021-04-30 18:04:50+00:00
7,The Beatles,Devil In Her Heart - Remastered 2009,5maTh4fY9SlgR3FhRkf040,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73,2021-04-30 14:59:54+00:00
5,The Beatles,Money (That's What I Want) - Remastered 2009,3zw4FTrVNfy2teEkV9FOvh,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73,2021-04-30 14:59:35+00:00
4,The Beatles,Boys - Remastered 2009,7JxGM1R32ZqfwZou3VtnTg,https://i.scdn.co/image/ab67616d00001e02dbeec63ad914c973e75c24df,2021-04-30 14:59:13+00:00
3,The Beatles,Hold Me Tight - Remastered 2009,2RvKsA6Ho7VbJkVFiD4UQF,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73,2021-04-30 14:58:57+00:00
2,The Beatles,Ask Me Why - Remastered 2009,7529Z6b1rlGZFFPWjHPeV5,https://i.scdn.co/image/ab67616d00001e02dbeec63ad914c973e75c24df,2021-04-30 14:58:42+00:00
0,The Beatles,Twist And Shout - Remastered 2009,5ZBeML7Lf3FMEVviTyvi8l,https://i.scdn.co/image/ab67616d00001e02dbeec63ad914c973e75c24df,2021-04-30 14:57:09+00:00
