,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
77333,0.0484,['Led Zeppelin'],0.412,333893,0.902,0,0hCB0YR03f6AmQaHbwWDe8,0.131,9,0.405,-11.6,1,Whole Lotta Love - 1990 Remaster,77,1969-10-22,0.405,89.74,0.422,1969,['Led Zeppelin'],[],['Led Zeppelin'],Led ZeppelinWhole Lotta Love - 1990 Remaster,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",15,0.8611276925781668,https://i.scdn.co/image/ab67616d00001e02fc4f17340773c6c3579fea0d
18299,0.17,"['The Rolling Stones', 'Bob Clearmountain']",0.431,211467,0.94,0,1nBufEoW7UXvQWgqmNl6Kx,0.00155,9,0.315,-5.8679999999999986,1,Neighbours - Remastered,37,1981-08-24,0.0775,166.15599999999995,0.759,1981,"['The Rolling Stones', 'Bob Clearmountain']",[],"['The Rolling Stones', 'Bob Clearmountain']",The Rolling StonesNeighbours - Remastered,"['album_rock', 'classic_rock', 'british_invasion', 'rock']",7,0.8585402600024402,https://i.scdn.co/image/ab67616d00001e0208fc42e575043a753f60d675
18244,0.115,['The Rolling Stones'],0.564,392800,0.862,0,0oM5Z3MGSOieWT6ObRQ2Uj,0.308,9,0.0493,-6.398,1,Slave - Remastered,44,1981-08-24,0.0428,133.24200000000002,0.847,1981,['The Rolling Stones'],[],['The Rolling Stones'],The Rolling StonesSlave - Remastered,"['album_rock', 'classic_rock', 'british_invasion', 'rock']",8,0.8582079349949895,https://i.scdn.co/image/ab67616d00001e0208fc42e575043a753f60d675
18383,0.0299,"['The Rolling Stones', 'Bob Clearmountain']",0.461,141093,0.906,0,5HcTLesmMaPr0CkwdbtK0o,0.0104,9,0.319,-4.369,1,Hang Fire - Remastered,44,1981-08-24,0.0356,152.20600000000005,0.939,1981,"['The Rolling Stones', 'Bob Clearmountain']",[],"['The Rolling Stones', 'Bob Clearmountain']",The Rolling StonesHang Fire - Remastered,"['album_rock', 'classic_rock', 'british_invasion', 'rock']",8,0.857886439807486,https://i.scdn.co/image/ab67616d00001e0208fc42e575043a753f60d675
10493,0.0448,['Van Halen'],0.321,185271,0.927,0,6GY1Wq4k1N0CI5VlfrIeiZ,0.0,6,0.239,-4.663,1,So This Is Love? - 2015 Remaster,45,1981-05-06,0.124,161.466,0.762,1981,['Van Halen'],[],['Van Halen'],Van HalenSo This Is Love? - 2015 Remaster,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",9,0.8575199645995731,https://i.scdn.co/image/ab67616d00001e0284e08aa87d13451531e72274
18330,0.132,['The Rolling Stones'],0.53,203173,0.888,0,7K3rmA4f6NEElsxKEOOt8H,0.0321,5,0.425,-5.127999999999999,1,Little T&A - Remastered,44,1981-08-24,0.0282,136.123,0.833,1981,['The Rolling Stones'],[],['The Rolling Stones'],The Rolling StonesLittle T&A - Remastered,"['album_rock', 'classic_rock', 'british_invasion', 'rock']",8,0.8574900108059891,https://i.scdn.co/image/ab67616d00001e0208fc42e575043a753f60d675
77449,0.000124,['Led Zeppelin'],0.476,159667,0.828,0,4CWaV1xRCEJQj0QJJif60x,2.35e-05,9,0.0569,-8.06,1,Living Loving Maid (She's Just a Woman) - 1993 Remaster,43,1969-10-22,0.0357,152.16,0.916,1969,['Led Zeppelin'],[],['Led Zeppelin'],Led ZeppelinLiving Loving Maid (She's Just a Woman) - 1993 Remaster,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",8,0.857225006756585,https://i.scdn.co/image/ab67616d00001e02fc4f17340773c6c3579fea0d
77447,0.000942,['Led Zeppelin'],0.475,159301,0.8079999999999999,0,49C6EGQhCUSgyADHYvJ7ez,7.97e-06,9,0.146,-8.859,1,Living Loving Maid (She's Just a Woman) - Remaster,48,1969-10-22,0.037000000000000005,152.09799999999996,0.8959999999999999,1969,['Led Zeppelin'],[],['Led Zeppelin'],Led ZeppelinLiving Loving Maid (She's Just a Woman) - Remaster,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",9,0.8569954861039385,https://i.scdn.co/image/ab67616d00001e02f396ea414b735ef23e2ed1a9
10494,0.00345,['Van Halen'],0.472,188017,0.923,0,0LU1gfHjfUdSg32Yg4H1P9,0.000115,8,0.315,-5.074,1,Sinner's Swing! - 2015 Remaster,39,1981-05-06,0.07200000000000001,123.08,0.742,1981,['Van Halen'],[],['Van Halen'],Van HalenSinner's Swing! - 2015 Remaster,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",7,0.8569831404950752,https://i.scdn.co/image/ab67616d00001e0284e08aa87d13451531e72274
77404,0.153,['Led Zeppelin'],0.253,126973,0.887,0,2O1SBvPLma0j6IQXT1jeaM,1.22e-06,4,0.278,-4.763,1,Something Else,16,1969,0.0387,157.51,0.838,1969,['Led Zeppelin'],[],['Led Zeppelin'],Led ZeppelinSomething Else,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",3,0.8565843212437898,https://i.scdn.co/image/ab67616d00001e02471f26b2813a74764efc6a7d
10553,0.00758,['Van Halen'],0.387,247386,0.782,0,63Kyj8FRdQHbSHgdNb74Le,0.00097,1,0.107,-8.318,1,Dirty Movies - 2015 Remaster,45,1981-05-06,0.0582,184.325,0.77,1981,['Van Halen'],[],['Van Halen'],Van HalenDirty Movies - 2015 Remaster,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",9,0.8565706510265618,https://i.scdn.co/image/ab67616d00001e0284e08aa87d13451531e72274
10535,0.00916,['Van Halen'],0.515,272034,0.815,0,3tswCUETEyhBqxvDwfvGs3,3.39e-06,6,0.0966,-6.349,1,Hear About It Later - 2015 Remaster,46,1981-05-06,0.0397,123.334,0.618,1981,['Van Halen'],[],['Van Halen'],Van HalenHear About It Later - 2015 Remaster,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",9,0.8559778833974593,https://i.scdn.co/image/ab67616d00001e0284e08aa87d13451531e72274
10477,0.0145,['Van Halen'],0.528,209206,0.875,0,6fHS0zmDdDKktklfaqojaF,0.0,1,0.138,-5.912000000000001,1,Unchained - 2015 Remaster,56,1981-05-06,0.0436,136.83,0.479,1981,['Van Halen'],[],['Van Halen'],Van HalenUnchained - 2015 Remaster,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",11,0.8558905142344151,https://i.scdn.co/image/ab67616d00001e0284e08aa87d13451531e72274
18339,0.433,['The Rolling Stones'],0.56,327827,0.7,0,3hOyB6eLLjeadJD3rIodMd,0.00334,0,0.17,-7.765,1,Let It Bleed - Remastered 2019,38,1969-12-05,0.0291,116.235,0.85,1969,['The Rolling Stones'],[],['The Rolling Stones'],The Rolling StonesLet It Bleed - Remastered 2019,"['album_rock', 'classic_rock', 'british_invasion', 'rock']",7,0.8556978134804216,https://i.scdn.co/image/ab67616d00001e025d04cbd61b29f13f2630779c
10512,0.00585,['Van Halen'],0.481,300491,0.902,0,1eGSgC6ZhJ8D4nrZZ83LyA,0.000121,1,0.0722,-7.43,1,Mean Street - 2015 Remaster,53,1981-05-06,0.0681,102.315,0.608,1981,['Van Halen'],[],['Van Halen'],Van HalenMean Street - 2015 Remaster,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",10,0.8556570281716249,https://i.scdn.co/image/ab67616d00001e0284e08aa87d13451531e72274
18327,0.0078,['The Rolling Stones'],0.6759999999999999,213027,0.6659999999999999,0,3r7znjZZm0lz9wSuhKqdHb,0.0393,7,0.0843,-8.952,1,Live With Me - Remastered 2019,36,1969-12-05,0.0339,129.593,0.936,1969,['The Rolling Stones'],[],['The Rolling Stones'],The Rolling StonesLive With Me - Remastered 2019,"['album_rock', 'classic_rock', 'british_invasion', 'rock']",7,0.8556142865689856,https://i.scdn.co/image/ab67616d00001e025d04cbd61b29f13f2630779c
18340,0.433,['The Rolling Stones'],0.5579999999999999,327880,0.684,0,06FcMPcosZg13x2QODDDK6,0.00293,0,0.226,-8.246,1,Let It Bleed,52,1969-12-05,0.0288,116.232,0.867,1969,['The Rolling Stones'],[],['The Rolling Stones'],The Rolling StonesLet It Bleed,"['album_rock', 'classic_rock', 'british_invasion', 'rock']",10,0.8553333258401762,https://i.scdn.co/image/ab67616d00001e022af30c881bb23cfb82a8cf99
18329,0.00869,['The Rolling Stones'],0.6809999999999999,213133,0.633,0,31YMV7aMItO8jzyc10iRrS,0.049,7,0.0848,-9.997,1,Live With Me,41,1969-12-05,0.0352,129.591,0.954,1969,['The Rolling Stones'],[],['The Rolling Stones'],The Rolling StonesLive With Me,"['album_rock', 'classic_rock', 'british_invasion', 'rock']",8,0.8550549645681882,https://i.scdn.co/image/ab67616d00001e022af30c881bb23cfb82a8cf99
18185,0.157,['The Rolling Stones'],0.606,274227,0.794,0,4Wd9pEtEnZNDjgiswGOpJb,0.0406,0,0.568,-6.0420000000000025,1,Waiting On A Friend - Remastered 2009,58,1981-08-24,0.0282,116.93,0.911,1981,['The Rolling Stones'],[],['The Rolling Stones'],The Rolling StonesWaiting On A Friend - Remastered 2009,"['album_rock', 'classic_rock', 'british_invasion', 'rock']",11,0.8550511864661474,https://i.scdn.co/image/ab67616d00001e0208fc42e575043a753f60d675
77531,0.14400000000000002,['Led Zeppelin'],0.375,150201,0.956,0,2E64SWjM9rQmAshItmdbcw,7.6e-06,2,0.417,-7.0779999999999985,1,Communication Breakdown - Remaster,50,1969-01-12,0.175,175.04,0.381,1969,['Led Zeppelin'],[],['Led Zeppelin'],Led ZeppelinCommunication Breakdown - Remaster,"['album_rock', 'classic_rock', 'hard_rock', 'rock']",10,0.8547264186895488,https://i.scdn.co/image/ab67616d00001e02c77c73285cc5cb64d97e1b0f
