CustomerID,Recency,Frequency,MonetaryValue,R_Quartile,F_Quartile,M_Quartile,RFMClass,RFM_Score,Customer Segment
12346,119,2,490,1,1,1,111,3,Lost Customers
12347,11,182,44190,2,4,4,244,10,Most Loyal Customer
12348,22,31,7790,1,2,2,122,5,Attention Needed Customers
12349,2,73,17920,3,3,3,333,9,Most Loyal Customer
12350,2,17,3850,3,1,1,311,5,Potential Loyalists Customers
12352,4,95,23230,3,3,3,333,9,Most Loyal Customer
12353,85,4,1100,1,1,1,111,3,Lost Customers
12354,16,58,14160,2,3,3,233,8,Loyal Customers
12355,11,13,3120,2,1,1,211,4,Lost Customers
12356,2,59,14070,3,3,3,333,9,Most Loyal Customer
12357,7,131,31590,2,4,4,244,10,Most Loyal Customer
12358,33,19,4740,1,2,2,122,5,Attention Needed Customers
12359,1,254,61900,4,4,4,444,12,Most Loyal Customer
12360,5,129,30410,3,4,4,344,11,Most Loyal Customer
12361,3,10,2240,3,1,1,311,5,Potential Loyalists Customers
12362,1,274,65270,4,4,4,444,12,Most Loyal Customer
12363,7,23,5620,2,2,2,222,6,Loyal Customers
12364,1,85,20150,4,3,3,433,10,Most Loyal Customer
12365,36,23,5500,1,2,2,122,5,Attention Needed Customers
12367,18,11,2350,1,1,1,111,3,Lost Customers
12370,3,167,40920,3,4,4,344,11,Most Loyal Customer
12371,1,63,14850,4,3,3,433,10,Most Loyal Customer
12372,7,52,12780,2,3,3,233,8,Loyal Customers
12373,1,14,3320,4,1,1,411,6,Potential Loyalists Customers
12374,4,33,7910,3,2,2,322,7,Loyal Customers
12375,30,18,4110,1,2,2,122,5,Attention Needed Customers
12377,9,77,18610,2,3,3,233,8,Loyal Customers
12378,1,219,53390,4,4,4,444,12,Most Loyal Customer
12379,7,41,9620,2,2,2,222,6,Loyal Customers
12380,1,105,25190,4,4,4,444,12,Most Loyal Customer
12381,1,91,21110,4,3,3,433,10,Most Loyal Customer
12383,1,100,24830,4,3,4,434,11,Most Loyal Customer
12384,46,30,7570,1,2,2,122,5,Attention Needed Customers
12386,24,10,2350,1,1,1,111,3,Lost Customers
12388,2,100,24060,3,3,3,333,9,Most Loyal Customer
12390,11,32,7850,2,2,2,222,6,Loyal Customers
12391,2,100,24530,3,3,4,334,10,Most Loyal Customer
12393,7,64,15340,2,3,3,233,8,Loyal Customers
12394,21,27,6670,1,2,2,122,5,Attention Needed Customers
12395,1,159,37890,4,4,4,444,12,Most Loyal Customer
12397,3,126,29410,3,4,4,344,11,Most Loyal Customer
12398,11,85,20800,2,3,3,233,8,Loyal Customers
12399,8,59,14770,2,3,3,233,8,Loyal Customers
12401,57,5,1330,1,1,1,111,3,Lost Customers
12402,8,11,2800,2,1,1,211,4,Lost Customers
12403,65,6,1390,1,1,1,111,3,Lost Customers
12405,13,54,13450,2,3,3,233,8,Loyal Customers
12406,4,108,25340,3,4,4,344,11,Most Loyal Customer
12407,1,77,18050,4,3,3,433,10,Most Loyal Customer
12408,1,113,26770,4,4,4,444,12,Most Loyal Customer
12409,1,114,27500,4,4,4,444,12,Most Loyal Customer
12410,2,28,6860,3,2,2,322,7,Loyal Customers
12412,1,61,14640,4,3,3,433,10,Most Loyal Customer
12413,1,40,9380,4,2,2,422,8,Loyal Customers
12414,56,18,4070,1,2,1,121,4,Attention Needed Customers
12415,1,778,186750,4,4,4,444,12,Most Loyal Customer
12417,1,198,47360,4,4,4,444,12,Most Loyal Customer
12418,2,34,7900,3,2,2,322,7,Loyal Customers
12420,6,29,6760,2,2,2,222,6,Loyal Customers
12421,9,46,10600,2,3,3,233,8,Loyal Customers
