,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
25318,0.629,['The Beatles'],0.455,110493,0.5820000000000001,0,4dessGxnKXmTbHPhVgqODq,4.22e-06,4,0.172,-10.009,1,There's A Place - Remastered 2009,47,1963-03-22,0.0292,140.928,0.927,1963,['The Beatles'],[],['The Beatles'],The BeatlesThere's A Place - Remastered 2009,"['british_invasion', 'merseybeat', 'psychedelic_rock', 'rock', 'beatlesque', 'classic_rock']",9,0.9917978803109826,https://i.scdn.co/image/ab67616d00001e02dbeec63ad914c973e75c24df
25548,0.608,['The Beatles'],0.654,145080,0.561,0,3JQWLa88R35d971o5bIImd,0.0,10,0.129,-10.550999999999998,1,Chains - Remastered 2009,47,1963-03-22,0.0304,129.884,0.929,1963,['The Beatles'],[],['The Beatles'],The BeatlesChains - Remastered 2009,"['british_invasion', 'merseybeat', 'psychedelic_rock', 'rock', 'beatlesque', 'classic_rock']",9,0.9916508358225103,https://i.scdn.co/image/ab67616d00001e02dbeec63ad914c973e75c24df
25468,0.477,['The Beatles'],0.5529999999999999,119507,0.914,0,0sIZcoe69iSym9AecvZ7CT,0.0,9,0.292,-8.232000000000001,1,I Wanna Be Your Man - Remastered 2009,47,1963-11-22,0.0415,99.138,0.6829999999999999,1963,['The Beatles'],[],['The Beatles'],The BeatlesI Wanna Be Your Man - Remastered 2009,"['british_invasion', 'merseybeat', 'psychedelic_rock', 'rock', 'beatlesque', 'classic_rock']",9,0.9910744281318296,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73
25405,0.213,['The Beatles'],0.471,126827,0.8170000000000001,0,5vl0sRtrQM1BTSAxQZFqEN,0.0,7,0.498,-9.999,1,Not A Second Time - Remastered 2009,46,1963-11-22,0.0372,124.848,0.961,1963,['The Beatles'],[],['The Beatles'],The BeatlesNot A Second Time - Remastered 2009,"['british_invasion', 'merseybeat', 'psychedelic_rock', 'rock', 'beatlesque', 'classic_rock']",9,0.9904053505984866,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73
25535,0.5539999999999999,['The Beatles'],0.371,148253,0.7240000000000001,0,7y1hMqXNa0dKQLZH7CKbUG,0.0,2,0.299,-9.792,1,Don't Bother Me - Remastered 2009,56,1963-11-22,0.0562,170.377,0.916,1963,['The Beatles'],[],['The Beatles'],The BeatlesDon't Bother Me - Remastered 2009,"['british_invasion', 'merseybeat', 'psychedelic_rock', 'rock', 'beatlesque', 'classic_rock']",11,0.9902830790932611,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73
25579,0.217,['The Beatles'],0.49,122573,0.579,0,5tztLBvTlNC15Np2tnQ5Ll,0.0,1,0.0644,-10.300999999999998,0,All I've Got To Do - Remastered 2009,57,1963-11-22,0.0344,119.403,0.879,1963,['The Beatles'],[],['The Beatles'],The BeatlesAll I've Got To Do - Remastered 2009,"['british_invasion', 'merseybeat', 'psychedelic_rock', 'rock', 'beatlesque', 'classic_rock']",11,0.9898793213999192,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73
25572,0.635,['The Beatles'],0.608,177133,0.565,0,2baEFuU0gQon0hgVRioI1o,0.0,2,0.0601,-11.06,1,Anna (Go To Him) - Remastered 2009,59,1963-03-22,0.0336,109.286,0.835,1963,['The Beatles'],[],['The Beatles'],The BeatlesAnna (Go To Him) - Remastered 2009,"['british_invasion', 'merseybeat', 'psychedelic_rock', 'rock', 'beatlesque', 'classic_rock']",11,0.9898174704633893,https://i.scdn.co/image/ab67616d00001e02dbeec63ad914c973e75c24df
25568,0.778,['The Beatles'],0.608,160520,0.494,0,2VmB1rF9FtfKUmFHDVnq8Q,0.0,4,0.0926,-12.211,0,Baby It's You - Remastered 2009,58,1963-03-22,0.0345,112.421,0.879,1963,['The Beatles'],[],['The Beatles'],The BeatlesBaby It's You - Remastered 2009,"['british_invasion', 'merseybeat', 'psychedelic_rock', 'rock', 'beatlesque', 'classic_rock']",11,0.9885328942051641,https://i.scdn.co/image/ab67616d00001e02dbeec63ad914c973e75c24df
25274,0.525,['The Beatles'],0.373,181347,0.388,0,7rgUYidQh5tH0YlXCoKaYJ,0.0,9,0.267,-9.31,1,You Really Got A Hold On Me - Remastered 2009,58,1963-11-22,0.0337,77.643,0.687,1963,['The Beatles'],[],['The Beatles'],The BeatlesYou Really Got A Hold On Me - Remastered 2009,"['british_invasion', 'merseybeat', 'psychedelic_rock', 'rock', 'beatlesque', 'classic_rock']",11,0.9878752321710199,https://i.scdn.co/image/ab67616d00001e02608a63ad5b18e99da94a3f73
25395,0.389,['The Beatles'],0.635,124360,0.6559999999999999,0,7Msq9qojB7yORuJvz49iUy,0.00127,2,0.0828,-8.5,1,P.S. I Love You - Remastered 2009,50,1963-03-22,0.0291,134.435,0.77,1963,['The Beatles'],[],['The Beatles'],The BeatlesP.S. I Love You - Remastered 2009,"['british_invasion', 'merseybeat', 'psychedelic_rock', 'rock', 'beatlesque', 'classic_rock']",10,0.986421205620099,https://i.scdn.co/image/ab67616d00001e02dbeec63ad914c973e75c24df
