,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
139706,0.0381,['Britney Spears'],0.682,198600,0.894,0,5p0KCAuu5nrHpTuAIhHdLw,0.0,0,0.416,-1.73,0,Overprotected - Radio Edit,60,2001-10-31,0.0727,95.992,0.845,2001,['Britney Spears'],[],['Britney Spears'],Britney SpearsOverprotected - Radio Edit,"['dance_pop', 'post-teen_pop', 'pop_dance', 'pop_rap', 'pop']",12,0.7248976449571222,https://i.scdn.co/image/ab67616d00001e02e1a4e01cb7a1ecff468bbead
133841,0.0175,"['Christina Aguilera', ""Lil' Kim"", 'Mýa', 'P!nk']",0.7559999999999999,264847,0.8079999999999999,0,7GQqj9jRtDkMp8zByehXQI,3.67e-06,5,0.66,-3.655,1,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",62,2001-01-01,0.0541,109.902,0.638,2001,"['Christina Aguilera', ' Kim"", ', ', ']","[""Lil' Kim""]","['Christina Aguilera', ' Kim"", ', ', ']","Christina AguileraLady Marmalade - From ""Moulin Rouge"" Soundtrack","['dance_pop', 'post-teen_pop', 'pop_dance', 'pop_rap', 'pop']",12,0.7227181839798729,https://i.scdn.co/image/ab67616d00001e02687e8a165b272440a68a480f
38460,0.226,['Selena'],0.415,403640,0.938,0,2e5lffoLF7p6YeGbcmigdX,0.00973,10,0.8029999999999999,-4.948,1,Como La Flor - Live,53,2001-09-24,0.0974,91.012,0.336,2001,['Selena'],[],['Selena'],SelenaComo La Flor - Live,"['pop', 'dance_pop', 'pop_dance', 'post-teen_pop']",10,0.7214822094519093,https://i.scdn.co/image/ab67616d00001e02aa9cea5840203fd350b279f9
139714,0.415,['Britney Spears'],0.847,203600,0.843,0,6ldwfK0yWgTAlmIfuQkTYN,0.000134,5,0.107,-3.579,0,I'm a Slave 4 U,68,2001-10-31,0.106,110.027,0.963,2001,['Britney Spears'],[],['Britney Spears'],Britney SpearsI'm a Slave 4 U,"['dance_pop', 'post-teen_pop', 'pop_dance', 'pop_rap', 'pop']",13,0.7187787391081314,https://i.scdn.co/image/ab67616d00001e02e1a4e01cb7a1ecff468bbead
139718,0.000811,['Britney Spears'],0.7090000000000001,186533,0.728,0,29viePXNqWUw1cxqzOcuOD,0.105,9,0.564,-1.643,1,I Love Rock 'N' Roll,56,2001-10-31,0.185,180.107,0.5720000000000001,2001,['Britney Spears'],[],['Britney Spears'],Britney SpearsI Love Rock 'N' Roll,"['dance_pop', 'post-teen_pop', 'pop_dance', 'pop_rap', 'pop']",11,0.7185490046701318,https://i.scdn.co/image/ab67616d00001e02e1a4e01cb7a1ecff468bbead
91900,0.00305,['Jennifer Lopez'],0.7859999999999999,221227,0.8420000000000001,0,1fgvJXlcZ7uIddMpqsqw0L,3.54e-06,4,0.473,-5.115,0,Love Don't Cost a Thing,62,2001-01-23,0.0707,97.577,0.685,2001,['Jennifer Lopez'],[],['Jennifer Lopez'],Jennifer LopezLove Don't Cost a Thing,"['urban_contemporary', 'dance_pop', 'post-teen_pop', 'pop_dance', 'pop_rap', 'pop']",12,0.7168293060072539,https://i.scdn.co/image/ab67616d00001e02bfa0a1de59696c7a6fe15ebb
91895,0.0303,['Jennifer Lopez'],0.775,211493,0.7290000000000001,1,7fFCnttacpotkyhTOxKv14,0.00247,1,0.0361,-4.229,0,Play,53,2001-01-23,0.162,104.719,0.895,2001,['Jennifer Lopez'],[],['Jennifer Lopez'],Jennifer LopezPlay,"['urban_contemporary', 'dance_pop', 'post-teen_pop', 'pop_dance', 'pop_rap', 'pop']",10,0.7134510054289911,https://i.scdn.co/image/ab67616d00001e02bfa0a1de59696c7a6fe15ebb
139715,0.579,['Britney Spears'],0.534,231067,0.5429999999999999,0,1xg1yGPy1Y3YUf44s6TB1o,0.0,3,0.112,-6.857,1,"I'm Not a Girl, Not Yet a Woman",58,2001-10-31,0.0245,78.99600000000002,0.418,2001,['Britney Spears'],[],['Britney Spears'],"Britney SpearsI'm Not a Girl, Not Yet a Woman","['dance_pop', 'post-teen_pop', 'pop_dance', 'pop_rap', 'pop']",11,0.6921116631960744,https://i.scdn.co/image/ab67616d00001e02e1a4e01cb7a1ecff468bbead
81163,0.00498,['Kesha'],0.711,211920,0.7,0,7EQGXaVSyEDsCWKmUcfpLk,0.000125,1,0.215,-4.805,0,Die Young,76,2012-11-30,0.046,128.001,0.8009999999999999,2012,['Kesha'],[],['Kesha'],KeshaDie Young,"['electropop', 'dance_pop', 'post-teen_pop', 'pop_dance', 'pop']",15,0.6865502118919139,https://i.scdn.co/image/ab67616d00001e0276c5c62197115a22b23ff950
81164,0.0141,['Kesha'],0.742,230747,0.706,1,1sNctqVr9zdS7i1RZNjIgY,0.005679999999999999,0,0.133,-4.6,0,Crazy Kids,54,2012-11-30,0.0433,128.03,0.478,2012,['Kesha'],[],['Kesha'],KeshaCrazy Kids,"['electropop', 'dance_pop', 'post-teen_pop', 'pop_dance', 'pop']",10,0.6810305774290909,https://i.scdn.co/image/ab67616d00001e0276c5c62197115a22b23ff950
81166,0.00657,['Kesha'],0.5579999999999999,214307,0.7809999999999999,0,4bO6IzKXMWhmncfIO9GBq2,0.00144,1,0.102,-5.448,0,C'Mon,62,2012-11-30,0.0963,126.025,0.28600000000000003,2012,['Kesha'],[],['Kesha'],KeshaC'Mon,"['electropop', 'dance_pop', 'post-teen_pop', 'pop_dance', 'pop']",12,0.6742980749090289,https://i.scdn.co/image/ab67616d00001e0276c5c62197115a22b23ff950
