,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
137953,0.8390000000000001,['Calum Scott'],0.682,260285,0.173,0,2BOqDYLOJBiMOXShCV1neZ,3.26e-05,1,0.0983,-8.749,1,Dancing On My Own,82,2018-03-09,0.0314,112.663,0.236,2018,['Calum Scott'],[],['Calum Scott'],Calum ScottDancing On My Own,"['viral_pop', 'neo_mellow', 'pop']",16,0.6068431852793958,https://i.scdn.co/image/ab67616d00001e02f2d671c22b70e01b78a618a8
67234,0.5579999999999999,['Maroon 5'],0.611,215230,0.462,0,6OEHjJJvdkk1Ln0p0AZdyz,1.01e-06,0,0.131,-7.0539999999999985,1,Girls Like You,63,2018-06-15,0.0646,59.635,0.377,2018,['Maroon 5'],[],['Maroon 5'],Maroon 5Girls Like You,"['pop_rock', 'pop']",12,0.590677776397412,https://i.scdn.co/image/ab67616d00001e02fc4852898bc6ed85b3e3f89c
67201,0.0946,['Maroon 5'],0.6579999999999999,190643,0.603,0,4egTUh77H4Zim2gwMPSKt7,0.0,8,0.107,-5.016,1,Wait,21,2019-12-20,0.0549,126.038,0.435,2019,['Maroon 5'],[],['Maroon 5'],Maroon 5Wait,"['pop_rock', 'pop']",4,0.5882077723992251,https://i.scdn.co/image/ab67616d00001e02d6b589b70cff5a7f01c841ca
140505,0.35,['Boyce Avenue'],0.349,212772,0.366,0,4Dl855fAN0nKsqlpsuh8pG,0.0,6,0.61,-7.55,1,A Thousand Years / Say You Won’t Let Go (Live 2017),29,2018-10-14,0.0281,145.265,0.214,2018,['Boyce Avenue'],[],['Boyce Avenue'],Boyce AvenueA Thousand Years / Say You Won’t Let Go (Live 2017),"['pop_rock', 'viral_pop', 'neo_mellow']",5,0.5454907746464862,https://i.scdn.co/image/ab67616d00001e02014e76430111d3317834156f
31099,0.7,['Summer Walker'],0.759,143667,0.413,1,4hWgC5BV5M7EtTleKVXNxw,0.0,11,0.14,-7.282,0,Playing Games,68,2019-10-04,0.0494,115.893,0.403,2019,['Summer Walker'],[],['Summer Walker'],Summer WalkerPlaying Games,"['r&b', 'pop']",13,0.5384100204479889,https://i.scdn.co/image/ab67616d00001e02b5ed9187ac7f8aa281a547e3
10314,0.484,['Vance Joy'],0.637,214720,0.8640000000000001,0,2RiBogNRfulkNf7fVbPOrJ,0.0,8,0.222,-4.381,1,Saturday Sun,71,2018-02-23,0.0468,99.995,0.706,2018,['Vance Joy'],[],['Vance Joy'],Vance JoySaturday Sun,"['folk-pop', 'pop_rock', 'modern_rock', 'pop']",14,0.5371171874819543,https://i.scdn.co/image/ab67616d00001e029ac709b94022896013465886
31104,0.626,['Summer Walker'],0.6459999999999999,92093,0.335,1,3LfHBTYZBTqmz43tvVXJBd,1.3e-05,3,0.107,-9.915,0,Deep,67,2018-10-19,0.247,167.92700000000005,0.419,2018,['Summer Walker'],[],['Summer Walker'],Summer WalkerDeep,"['r&b', 'pop']",13,0.5359626368273972,https://i.scdn.co/image/ab67616d00001e02fb023e6073e38a52082cc7b6
87350,0.325,['John Mayer'],0.828,216015,0.6890000000000001,0,3bH4HzoZZFq8UpZmI2AMgV,0.0384,7,0.0808,-7.877999999999999,1,New Light,77,2018-05-10,0.0326,123.931,0.853,2018,['John Mayer'],[],['John Mayer'],John MayerNew Light,"['singer-songwriter', 'pop_rock', 'neo_mellow', 'pop']",15,0.5345204973449389,https://i.scdn.co/image/ab67616d00001e0221f02a52720857a42bba5417
93786,0.603,['James Blunt'],0.679,213053,0.54,0,6GU19qDSbCWw5HKwfYTgVq,1.7e-05,0,0.0905,-7.457000000000002,0,You're Beautiful,44,2005-10-04,0.026,81.971,0.449,2005,['James Blunt'],[],['James Blunt'],James BluntYou're Beautiful,"['pop_rock', 'neo_mellow', 'pop']",8,0.5337435248217323,https://i.scdn.co/image/ab67616d00001e02a0e0d95494558f9be44fd09b
93787,0.953,['James Blunt'],0.4320000000000001,258653,0.261,0,6gxycjJNMgmAyfzUXBN80P,0.0034200000000000003,4,0.0903,-12.591,1,Goodbye My Lover,67,2005-08-08,0.0512,89.56700000000002,0.273,2005,['James Blunt'],[],['James Blunt'],James BluntGoodbye My Lover,"['pop_rock', 'neo_mellow', 'pop']",13,0.532888112697781,https://i.scdn.co/image/ab67616d00001e02105f043a4f470cf58cc01ccf
