,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
42242,0.396,"['Romeo Santos', 'Marc Anthony']",0.645,306453,0.7859999999999999,0,5A9AILetvfQg3LHyX5X0pV,0.0,4,0.111,-4.248,0,Yo También (feat. Marc Anthony),69,2014-02-25,0.0566,91.459,0.738,2014,"['Romeo Santos', 'Marc Anthony']",[],"['Romeo Santos', 'Marc Anthony']",Romeo SantosYo También (feat. Marc Anthony),"['latin', 'latin_pop', 'modern_salsa', 'salsa', 'bachata', 'tropical']",13,0.790820331608652,https://i.scdn.co/image/ab67616d00001e02e9da42890bbd629df1e8f640
118542,0.404,"['Enrique Iglesias', 'Romeo Santos']",0.7559999999999999,213147,0.863,0,6yjsa6c8nSGQqXF12vFSpp,0.0,7,0.112,-3.39,1,Loco,59,2014-01-01,0.028,132.987,0.915,2014,"['Enrique Iglesias', 'Romeo Santos']",[],"['Enrique Iglesias', 'Romeo Santos']",Enrique IglesiasLoco,"['pop', 'latin', 'dance_pop', 'latin_pop', 'bachata', 'tropical', 'mexican_pop']",11,0.7725561154477889,https://i.scdn.co/image/ab67616d00001e02d27447cdbed86ca4dfd61f48
135018,0.112,['Chayanne'],0.69,225987,0.902,0,7lOzUJzsELALh5FQsPKTEn,0.0,6,0.175,-4.269,0,Humanos a Marte,68,2014-08-25,0.0407,92.988,0.7859999999999999,2014,['Chayanne'],[],['Chayanne'],ChayanneHumanos a Marte,"['tropical', 'latin', 'puerto_rican_pop', 'latin_pop']",13,0.7674439133424067,https://i.scdn.co/image/ab67616d00001e028b02886da55459c302791820
42263,0.417,['Romeo Santos'],0.8540000000000001,253200,0.7509999999999999,0,3sTVMGhTdyyLM67WyYhYMB,3.01e-06,6,0.0894,-5.2429999999999986,1,7 Días,65,2014-02-25,0.0301,125.011,0.925,2014,['Romeo Santos'],[],['Romeo Santos'],Romeo Santos7 Días,"['bachata', 'tropical', 'latin']",13,0.7513317983702485,https://i.scdn.co/image/ab67616d00001e02e9da42890bbd629df1e8f640
42260,0.574,['Romeo Santos'],0.7829999999999999,237093,0.7809999999999999,0,6bcdiJvYNX115yvbh3wASz,0.0,4,0.32299999999999995,-3.079,1,Cancioncitas de Amor,68,2014-02-25,0.0419,125.9,0.7709999999999999,2014,['Romeo Santos'],[],['Romeo Santos'],Romeo SantosCancioncitas de Amor,"['bachata', 'tropical', 'latin']",13,0.7510900194318928,https://i.scdn.co/image/ab67616d00001e02e9da42890bbd629df1e8f640
42255,0.359,['Romeo Santos'],0.733,236293,0.794,0,6rXvMpWJbTyhSrVWye7jPE,0.0,5,0.16,-4.328,1,Inocente,64,2014-02-25,0.0447,140.186,0.857,2014,['Romeo Santos'],[],['Romeo Santos'],Romeo SantosInocente,"['bachata', 'tropical', 'latin']",12,0.750814230349423,https://i.scdn.co/image/ab67616d00001e02e9da42890bbd629df1e8f640
42257,0.34600000000000003,['Romeo Santos'],0.872,234760,0.726,0,6CKlQHQIxhWtq7MnEJ6QCz,0.0,5,0.114,-3.513,0,Hilito,68,2014-02-25,0.0324,117.012,0.875,2014,['Romeo Santos'],[],['Romeo Santos'],Romeo SantosHilito,"['bachata', 'tropical', 'latin']",13,0.7506747246889258,https://i.scdn.co/image/ab67616d00001e02e9da42890bbd629df1e8f640
42262,0.189,['Romeo Santos'],0.826,231587,0.753,0,4n82bvvKnaCSbM0pXWbR1S,0.0,11,0.23,-4.5139999999999985,0,Amigo,65,2014-02-25,0.0482,135.03799999999998,0.866,2014,['Romeo Santos'],[],['Romeo Santos'],Romeo SantosAmigo,"['bachata', 'tropical', 'latin']",13,0.7502018421041884,https://i.scdn.co/image/ab67616d00001e02e9da42890bbd629df1e8f640
42258,0.401,['Romeo Santos'],0.843,250640,0.7290000000000001,0,6I86RF3odBlcuZA9Vfjzeq,1.2e-06,6,0.206,-3.634,0,Eres Mía,73,2014-02-25,0.0374,123.046,0.903,2014,['Romeo Santos'],[],['Romeo Santos'],Romeo SantosEres Mía,"['bachata', 'tropical', 'latin']",14,0.7459313649126355,https://i.scdn.co/image/ab67616d00001e02e9da42890bbd629df1e8f640
121513,0.0857,['Eddy Herrera'],0.6990000000000001,300427,0.841,0,25ILWrCvXPpkUFU0R7znEv,3.53e-05,2,0.294,-7.911,1,Pegame Tu Vicio,52,2000,0.0431,137.38,0.815,2000,['Eddy Herrera'],[],['Eddy Herrera'],Eddy HerreraPegame Tu Vicio,"['tropical', 'latin']",10,0.7073615131981021,https://i.scdn.co/image/ab67616d00001e0266561c556ef0c313cc01df76
