,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
118546,0.159,['Enrique Iglesias'],0.557,263600,0.573,0,4AkrkORGjiz7c90mwxAvdW,2.49e-06,7,0.116,-6.244,1,Heroe,60,2001-01-01,0.0335,75.973,0.193,2001,['Enrique Iglesias'],[],['Enrique Iglesias'],Enrique IglesiasHeroe,"['latin', 'pop', 'tropical', 'latin_pop', 'dance_pop', 'mexican_pop']",12,0.954464521413694,https://i.scdn.co/image/ab67616d00001e0225df921e104227f1e493429a
118559,0.0359,['Enrique Iglesias'],0.69,220160,0.871,0,1lZ4j5WBURBwZ0M5TT46wP,0.000843,1,0.0347,-5.484,0,Be With You,52,1999-11-23,0.0329,121.984,0.561,1999,['Enrique Iglesias'],[],['Enrique Iglesias'],Enrique IglesiasBe With You,"['latin', 'pop', 'tropical', 'latin_pop', 'dance_pop', 'mexican_pop']",10,0.8226334369896133,https://i.scdn.co/image/ab67616d00001e02f3dc548292cbf807527b9309
118555,0.0513,['Enrique Iglesias'],0.755,218053,0.763,0,0JfAMd3xTqm7ZYhBmQjYzt,0.0,8,0.0326,-4.328,1,Do You Know? (The Ping Pong Song),50,2007-01-01,0.0501,114.992,0.696,2007,['Enrique Iglesias'],[],['Enrique Iglesias'],Enrique IglesiasDo You Know? (The Ping Pong Song),"['latin', 'pop', 'tropical', 'latin_pop', 'dance_pop', 'mexican_pop']",10,0.8226221438087538,https://i.scdn.co/image/ab67616d00001e0205a6cbc1f2a0e36b818f1351
118562,0.0528,['Enrique Iglesias'],0.627,214067,0.888,0,2bbeNsFmjZqdoDhjLsKNWe,0.00237,9,0.136,-4.523,0,Bailamos,52,1999-11-23,0.0388,99.905,0.591,1999,['Enrique Iglesias'],[],['Enrique Iglesias'],Enrique IglesiasBailamos,"['latin', 'pop', 'tropical', 'latin_pop', 'dance_pop', 'mexican_pop']",10,0.8221481506693322,https://i.scdn.co/image/ab67616d00001e02f3dc548292cbf807527b9309
118536,0.183,['Enrique Iglesias'],0.637,244027,0.505,0,3nTP1d8K9jHFHiozzXGVDF,0.000285,9,0.114,-8.621,1,Por Amarte,61,1995-11-23,0.0295,127.933,0.222,1995,['Enrique Iglesias'],[],['Enrique Iglesias'],Enrique IglesiasPor Amarte,"['latin', 'pop', 'tropical', 'latin_pop', 'dance_pop', 'mexican_pop']",12,0.8217081820573904,https://i.scdn.co/image/ab67616d00001e020aab643232cb0f0a78349929
118549,0.657,['Enrique Iglesias'],0.647,332040,0.629,0,0tgjnOlps2Hc798rOYGpvi,6.459999999999997e-05,0,0.0428,-8.041,1,Experiencia Religiosa,64,1995-11-23,0.0305,112.049,0.457,1995,['Enrique Iglesias'],[],['Enrique Iglesias'],Enrique IglesiasExperiencia Religiosa,"['latin', 'pop', 'tropical', 'latin_pop', 'dance_pop', 'mexican_pop']",12,0.8213700700967964,https://i.scdn.co/image/ab67616d00001e020aab643232cb0f0a78349929
118539,0.0785,['Enrique Iglesias'],0.544,251440,0.5920000000000001,0,1qZPQqoomnPzHKGjvn136r,0.00029,11,0.131,-7.73,1,No Llores por Mi,54,1995-11-23,0.0259,133.971,0.311,1995,['Enrique Iglesias'],[],['Enrique Iglesias'],Enrique IglesiasNo Llores por Mi,"['latin', 'pop', 'tropical', 'latin_pop', 'dance_pop', 'mexican_pop']",10,0.817546177390913,https://i.scdn.co/image/ab67616d00001e020aab643232cb0f0a78349929
118554,0.0608,['Enrique Iglesias'],0.7829999999999999,217933,0.737,0,2z0z5ddJS3K7qvhp4PH0Aa,0.0,8,0.0382,-4.432,1,Dímelo,55,2007-01-01,0.0413,114.994,0.8490000000000001,2007,['Enrique Iglesias'],[],['Enrique Iglesias'],Enrique IglesiasDímelo,"['latin', 'pop', 'tropical', 'latin_pop', 'dance_pop', 'mexican_pop']",11,0.8165585787988956,https://i.scdn.co/image/ab67616d00001e0205a6cbc1f2a0e36b818f1351
118540,0.0484,['Enrique Iglesias'],0.721,261000,0.813,0,2HFVGqywESc8EvMx5pXN2d,0.000261,9,0.159,-7.601,1,Muñeca Cruel,49,1995-11-23,0.0263,112.097,0.951,1995,['Enrique Iglesias'],[],['Enrique Iglesias'],Enrique IglesiasMuñeca Cruel,"['latin', 'pop', 'tropical', 'latin_pop', 'dance_pop', 'mexican_pop']",9,0.8162603485024554,https://i.scdn.co/image/ab67616d00001e020aab643232cb0f0a78349929
118534,0.13,['Enrique Iglesias'],0.622,209467,0.97,0,067sYyLu6IdRP5bCubdSfl,0.0,9,0.188,-2.722,0,Rhythm Divine,45,1999-11-23,0.156,102.025,0.429,1999,['Enrique Iglesias'],[],['Enrique Iglesias'],Enrique IglesiasRhythm Divine,"['latin', 'pop', 'tropical', 'latin_pop', 'dance_pop', 'mexican_pop']",9,0.8156108913266495,https://i.scdn.co/image/ab67616d00001e02f3dc548292cbf807527b9309
