,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
56976,1.26e-05,['Nirvana'],0.341,156427,0.964,0,7glld4kxYHp61zIPtSVHNk,0.000103,11,0.151,-5.327000000000001,0,Lounge Act,56,1991-09-26,0.107,152.192,0.459,1991,['Nirvana'],[],['Nirvana'],NirvanaLounge Act,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",11,0.9738851327607299,https://i.scdn.co/image/ab67616d00001e02e175a19e530c898d167d39bf
56939,5.39e-06,['Nirvana'],0.3670000000000001,211440,0.981,0,4l012k8ZcAdVbUvZ4kae5Q,0.0461,11,0.0822,-5.1,0,Stay Away,56,1991-09-26,0.128,165.21,0.205,1991,['Nirvana'],[],['Nirvana'],NirvanaStay Away,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",11,0.973267785531071,https://i.scdn.co/image/ab67616d00001e02e175a19e530c898d167d39bf
52206,0.00178,['Pearl Jam'],0.394,292581,0.944,0,6QewNVIDKdSl8Y3ycuHIei,4.54e-06,10,0.298,-6.506,0,Even Flow,74,1991-08-27,0.0761,105.338,0.265,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamEven Flow,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",14,0.9731952205325218,https://i.scdn.co/image/ab67616d00001e02d400d27cba05bb0545533864
52190,0.0404,['Pearl Jam'],0.285,318227,0.846,0,62nQ8UZVqR2RMvkJHkcO2o,0.0,2,0.182,-6.472,1,Jeremy,71,1991-08-27,0.0438,108.808,0.287,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamJeremy,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",14,0.9729656476021571,https://i.scdn.co/image/ab67616d00001e02d400d27cba05bb0545533864
52179,0.00535,['Pearl Jam'],0.413,231368,0.885,0,4nRyBgsqXEP2oPfzaMeZr7,1.97e-06,2,0.166,-7.695,0,Once,56,1991-08-27,0.0777,113.807,0.211,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamOnce,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",11,0.9729319045920736,https://i.scdn.co/image/ab67616d00001e02d400d27cba05bb0545533864
56937,0.000144,['Nirvana'],0.285,142947,0.979,0,2jmVGWe4MYY1zAAzpFHHcC,0.0,2,0.334,-4.428,1,Territorial Pissings,56,1991-09-26,0.175,182.7,0.108,1991,['Nirvana'],[],['Nirvana'],NirvanaTerritorial Pissings,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",11,0.9724570066458645,https://i.scdn.co/image/ab67616d00001e02e175a19e530c898d167d39bf
52219,0.32299999999999995,['Pearl Jam'],0.36,342653,0.684,0,5Xak5fmy089t0FYmh3VJiY,0.0,4,0.34,-6.4570000000000025,0,Black,74,1991-08-27,0.0308,77.15,0.2,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamBlack,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",14,0.9689662429707249,https://i.scdn.co/image/ab67616d00001e02d400d27cba05bb0545533864
56993,4.2100000000000014e-05,['Nirvana'],0.443,182187,0.975,0,2sPgC35My3D4jrpoyTlBpX,0.0106,7,0.358,-4.082,1,Even In His Youth - B-Side,30,1991-09-26,0.0751,142.763,0.33,1991,['Nirvana'],[],['Nirvana'],NirvanaEven In His Youth - B-Side,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",6,0.9679674250555979,https://i.scdn.co/image/ab67616d00001e02d27b5404a8aa5b94856e24cc
52205,3.13e-05,['Pearl Jam'],0.359,293093,0.934,0,4XEvl1bOlgslzaoAswDIhd,5.06e-05,10,0.325,-4.999,0,Even Flow - Brendan O'Brien Mix,35,1991-08-27,0.109,104.999,0.32299999999999995,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamEven Flow - Brendan O'Brien Mix,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",7,0.9675008045262294,https://i.scdn.co/image/ab67616d00001e02c75a7b98a59e8988e6b1b052
52178,0.00372,['Pearl Jam'],0.326,210520,0.935,0,3zNkNyXEeDs2HeAZ0fYqxI,7.55e-06,9,0.302,-5.69,1,Porch,53,1991-08-27,0.0698,135.762,0.17,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamPorch,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",10,0.9674429331667577,https://i.scdn.co/image/ab67616d00001e02d400d27cba05bb0545533864
52158,0.00999,['Pearl Jam'],0.322,200039,0.968,0,337kipThk7s7nHJ8POg1jK,4.120000000000001e-05,9,0.445,-5.59,1,Why Go,52,1991-08-27,0.106,115.565,0.316,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamWhy Go,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",10,0.9671961378960957,https://i.scdn.co/image/ab67616d00001e02d400d27cba05bb0545533864
52204,0.0048200000000000005,['Pearl Jam'],0.404,293600,0.83,0,6WAerOuiLIApXmGhjMPA65,1.01e-05,10,0.334,-11.41,0,Evenflow,52,1991,0.0527,104.995,0.309,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamEvenflow,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",10,0.9666795032899081,https://i.scdn.co/image/ab67616d00001e0212c5f3c15e32c11f820b66cc
52218,0.0447,['Pearl Jam'],0.235,338760,0.746,0,7s4UZ9jM8KtEbCdJhxWCec,0.0,9,0.28300000000000003,-4.343,1,Black - Brendan O'Brien Mix,40,1991-08-27,0.0407,156.343,0.211,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamBlack - Brendan O'Brien Mix,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",8,0.9665862670287712,https://i.scdn.co/image/ab67616d00001e02c75a7b98a59e8988e6b1b052
56981,7e-05,['Nirvana'],0.419,270733,0.845,0,6xPX69VKrU1HSZcaYFeFl3,0.29,10,0.152,-5.483,1,In Bloom - Smart Sessions,30,1991-09-26,0.0602,148.995,0.344,1991,['Nirvana'],[],['Nirvana'],NirvanaIn Bloom - Smart Sessions,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",6,0.9665652139883394,https://i.scdn.co/image/ab67616d00001e02d27b5404a8aa5b94856e24cc
52211,0.000179,['Pearl Jam'],0.284,258186,0.882,0,4tfWxyTBCJoN5gK358oL3W,0.000491,4,0.0979,-6.42,0,Deep,49,1991-08-27,0.0616,82.226,0.25,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamDeep,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",9,0.9662867212968854,https://i.scdn.co/image/ab67616d00001e02d400d27cba05bb0545533864
56984,0.0449,['Nirvana'],0.35100000000000003,299853,0.701,0,1JQ2g36EDQB3RAkCEhQ6dE,0.0476,0,0.124,-8.088,1,Here She Comes Now - Smart Sessions,43,1991-09-26,0.0306,118.505,0.13699999999999998,1991,['Nirvana'],[],['Nirvana'],NirvanaHere She Comes Now - Smart Sessions,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",8,0.9654305374981427,https://i.scdn.co/image/ab67616d00001e02d27b5404a8aa5b94856e24cc
52224,0.0075200000000000015,['Pearl Jam'],0.284,340907,0.875,0,1L94M3KIu7QluZe63g64rv,0.000461,11,0.402,-6.069,0,Alive,75,1991-08-27,0.0422,75.009,0.595,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamAlive,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",15,0.9653725834834458,https://i.scdn.co/image/ab67616d00001e02d400d27cba05bb0545533864
52223,0.00331,['Pearl Jam'],0.218,340520,0.958,0,0XLLWzt1wZwAQSxRnil0DQ,8.68e-05,2,0.545,-3.832,1,Alive - Brendan O'Brien Mix,37,1991-08-27,0.0965,75.013,0.35600000000000004,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamAlive - Brendan O'Brien Mix,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",7,0.9651348671977793,https://i.scdn.co/image/ab67616d00001e02c75a7b98a59e8988e6b1b052
52202,0.0478,['Pearl Jam'],0.191,298933,0.7070000000000001,0,3KcJEOyaLDLAERlOCBhmPA,6.1e-05,7,0.295,-6.846,1,Garden,53,1991-08-27,0.0345,82.7,0.179,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamGarden,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",10,0.9646125051005398,https://i.scdn.co/image/ab67616d00001e02d400d27cba05bb0545533864
52173,0.446,['Pearl Jam'],0.241,546019,0.34,0,3xAka0D8585mDoShALnsd7,0.0641,7,0.0994,-11.919,1,Release,57,1991-08-27,0.0446,80.979,0.064,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamRelease,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",11,0.9611403713756483,https://i.scdn.co/image/ab67616d00001e02d400d27cba05bb0545533864
52156,0.29,['Pearl Jam'],0.504,303587,0.354,0,3bE5slaVEfaDreqARl6k4M,4.71e-06,4,0.157,-11.3,1,Yellow Ledbetter,69,1991,0.0339,140.87,0.292,1991,['Pearl Jam'],[],['Pearl Jam'],Pearl JamYellow Ledbetter,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",13,0.9599004913154542,https://i.scdn.co/image/ab67616d00001e028df1fdc14be33eb2c991d60f
57012,0.000327,['Nirvana'],0.317,285613,0.8740000000000001,0,3o8efKGjIewT6h0kpBv7WA,0.7509999999999999,11,0.209,-4.9910000000000005,0,Aneurysm - B-Side,32,1991-09-26,0.094,130.99200000000002,0.17,1991,['Nirvana'],[],['Nirvana'],NirvanaAneurysm - B-Side,"['grunge', 'permanent_wave', 'alternative_rock', 'rock']",6,0.9593230615507017,https://i.scdn.co/image/ab67616d00001e02d27b5404a8aa5b94856e24cc
