,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red,sim,url
69344,0.333,['Madonna'],0.742,240280,0.883,0,22sLuJYcvZOSoLLRYev1s5,7.51e-06,0,0.0964,-3.419,1,Material Girl,72,2009-09-18,0.0329,136.506,0.978,2009,['Madonna'],[],['Madonna'],MadonnaMaterial Girl,"['pop', 'dance_pop']",14,0.8036175103640307,https://i.scdn.co/image/ab67616d00001e028f9f218b386e6aeb27184307
27563,0.0527,['Taylor Swift'],0.613,208187,0.764,0,2yLa0QULdQr0qAIvVwN6B5,0.0,2,0.197,-6.509,1,...Ready For It?,71,2017-11-10,0.136,160.015,0.417,2017,['Taylor Swift'],[],['Taylor Swift'],Taylor Swift...Ready For It?,"['pop', 'dance_pop']",14,0.7933903719226667,https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b
69367,0.0542,['Madonna'],0.8540000000000001,368280,0.7959999999999999,0,4k6ktr10Hczmh55NY3LfJy,0.00184,11,0.151,-5.567,0,Holiday,61,2009-09-18,0.0399,115.625,0.946,2009,['Madonna'],[],['Madonna'],MadonnaHoliday,"['pop', 'dance_pop']",12,0.7903898763709232,https://i.scdn.co/image/ab67616d00001e028f9f218b386e6aeb27184307
69370,0.0108,['Madonna'],0.667,239093,0.93,0,6ioBgySxoeQKALvAeLEmId,0.0,7,0.17600000000000002,-4.585,1,Express Yourself,56,2009-09-18,0.0608,115.57,0.893,2009,['Madonna'],[],['Madonna'],MadonnaExpress Yourself,"['pop', 'dance_pop']",11,0.7903337324420141,https://i.scdn.co/image/ab67616d00001e028f9f218b386e6aeb27184307
69318,0.00379,['Madonna'],0.737,316813,0.88,0,27QvYgBk0CHOVHthWnkuWt,0.00351,6,0.417,-6.449,1,Vogue,66,2009-09-18,0.0433,115.998,0.329,2009,['Madonna'],[],['Madonna'],MadonnaVogue,"['pop', 'dance_pop']",13,0.7901053685271369,https://i.scdn.co/image/ab67616d00001e028f9f218b386e6aeb27184307
27524,0.0713,['Taylor Swift'],0.8,209680,0.535,0,1ZY1PqizIl78geGM4xWlEA,9.48e-06,7,0.213,-6.684,1,Gorgeous,70,2017-11-10,0.135,92.027,0.451,2017,['Taylor Swift'],[],['Taylor Swift'],Taylor SwiftGorgeous,"['pop', 'dance_pop']",14,0.7892339080239766,https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b
27526,0.00465,['Taylor Swift'],0.562,233627,0.6890000000000001,0,0VE4kBnHJUgtMf0dy6DRmW,2.23e-06,2,0.0888,-6.745,1,Getaway Car,72,2017-11-10,0.127,172.054,0.35100000000000003,2017,['Taylor Swift'],[],['Taylor Swift'],Taylor SwiftGetaway Car,"['pop', 'dance_pop']",14,0.7881481892618,https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b
69362,0.0658,['Madonna'],0.7290000000000001,285093,0.856,0,2m0M7YqCy4lXfedh18qd8N,0.008320000000000001,10,0.0691,-4.164,0,Into the Groove,62,2009-09-18,0.035,116.467,0.804,2009,['Madonna'],[],['Madonna'],MadonnaInto the Groove,"['pop', 'dance_pop']",12,0.7880770654702192,https://i.scdn.co/image/ab67616d00001e028f9f218b386e6aeb27184307
69357,0.392,['Madonna'],0.708,242947,0.8320000000000001,0,2Iib2MV3ECFJAourgP9dlY,1.33e-06,1,0.0561,-4.7360000000000015,0,La Isla Bonita,64,2009-09-18,0.0362,99.953,0.968,2009,['Madonna'],[],['Madonna'],MadonnaLa Isla Bonita,"['pop', 'dance_pop']",12,0.7879037645133999,https://i.scdn.co/image/ab67616d00001e028f9f218b386e6aeb27184307
69338,0.377,['Madonna'],0.6729999999999999,252373,0.792,0,0uIqV0X1M1vjti0ubMOInt,0.00279,5,0.0578,-10.843,1,Over and Over,39,1984-11-12,0.0349,150.235,0.971,1984,['Madonna'],[],['Madonna'],MadonnaOver and Over,"['pop', 'dance_pop']",7,0.7868988066333202,https://i.scdn.co/image/ab67616d00001e026b18e58a06aac7763abe319a
